channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCoJWrkhWBNaIq5nUhywlypg,UCoJWrkhWBNaIq5nUhywlypg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCqd0XUtNr_yQ5nqoiPsPw5g,UCqd0XUtNr_yQ5nqoiPsPw5g,20,active,0,0,0,9,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCi3OmB8dXVghuG9D3vctkkA,UCi3OmB8dXVghuG9D3vctkkA,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCbD3nlSc93VBsIovckmwxsA,UCbD3nlSc93VBsIovckmwxsA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCAMqZUgn108BphHwPlBR7mw,UCAMqZUgn108BphHwPlBR7mw,20,active,0,0,0,9,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCXtqlt9IrVPRD9NO_j7C_Mg,UCXtqlt9IrVPRD9NO_j7C_Mg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCKU784Kp23nQ6Uii4_l-1NQ,UCKU784Kp23nQ6Uii4_l-1NQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCS_m9xqKDRFpNt9QT1wM6EQ,UCS_m9xqKDRFpNt9QT1wM6EQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCEtB40-LCbI0IXogvR2GLKw,UCEtB40-LCbI0IXogvR2GLKw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCK6AEy9iLoe_YBZMeqvqzjQ,UCK6AEy9iLoe_YBZMeqvqzjQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC3c3eSlsIgNGDDk6pbCQ_3A,UC3c3eSlsIgNGDDk6pbCQ_3A,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC0wvZsUk86uSDqbDdf8-UFA,UC0wvZsUk86uSDqbDdf8-UFA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCakT5KYAeJxpGB7a5fGDoLQ,UCakT5KYAeJxpGB7a5fGDoLQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC0dlDfWk8mTQ7-hYh4hJDOg,UC0dlDfWk8mTQ7-hYh4hJDOg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCBFwcFsinFsgnWzQDdow-gQ,UCBFwcFsinFsgnWzQDdow-gQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCAHwaUO0qv9R6pL1F6-EaIQ,UCAHwaUO0qv9R6pL1F6-EaIQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCa7xjuC1t1x_jz4Q-ILiqzA,UCa7xjuC1t1x_jz4Q-ILiqzA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCVLUks_m2UoDTn19GM2sfCQ,UCVLUks_m2UoDTn19GM2sfCQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC1SiFqniQIkuT4nblP3aV4w,UC1SiFqniQIkuT4nblP3aV4w,20,active,0,0,0,12,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCLr8eiwiNw9_w_YOX4Y6i5g,UCLr8eiwiNw9_w_YOX4Y6i5g,20,active,0,0,0,27,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCtEO2zRYcGMWzjAtFfmYbdQ,UCtEO2zRYcGMWzjAtFfmYbdQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCINYsMcbuwmobYpQYlxGCTg,UCINYsMcbuwmobYpQYlxGCTg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UCQVr5FEGzX3eYT5swGdFQdA,UCQVr5FEGzX3eYT5swGdFQdA,20,active,0,0,0,9,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCAy76-me2Ca0WvzXw6WDbXQ,UCAy76-me2Ca0WvzXw6WDbXQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCGLw-gleKTCScnLrn2uRLVw,UCGLw-gleKTCScnLrn2uRLVw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCwpzPKtYok2hTONHNyqPCqw,UCwpzPKtYok2hTONHNyqPCqw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
